ORDER_ID,SHIP_METHOD,ORDER_ON,DUE_DATE,customer_CUSTOMER_ID,SHIPPING_REMARKS
33,AIR,28.03.2023,14/05/2023,25,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
34,SEA,24.02.2023,15/07/2022,8,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
35,SEA,22.09.2022,23/06/2023,14,Quisque ut erat. Curabitur gravida nisi at nibh.
36,SEA,22.12.2022,07/06/2023,37,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
37,AIR,08.01.2023,25/01/2023,14,Pellentesque eget nunc.
38,AIR,10.02.2023,17/02/2023,36,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus."
39,SEA,01.12.2022,08/11/2022,31,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo."
40,SEA,22.09.2022,13/07/2022,28,Morbi porttitor lorem id ligula.
41,SEA,23.02.2023,27/04/2023,46,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
42,AIR,01.05.2023,16/04/2023,40,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
43,AIR,08.11.2022,15/10/2022,11,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
44,AIR,21.09.2022,09/02/2023,43,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
45,POSTAL,28.05.2022,17/06/2022,10,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
46,SEA,30.04.2023,30/11/2022,36,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
47,AIR,06.01.2023,05/07/2023,22,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.
48,AIR,17.06.2022,22/05/2023,10,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla."
49,SEA,14.08.2022,02/07/2022,3,Nunc purus. Phasellus in felis. Donec semper sapien a libero.
50,POSTAL,11.06.2022,25/06/2023,32,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
51,POSTAL,12.06.2022,21/04/2023,49,Proin eu mi. Nulla ac enim.
52,AIR,28.05.2022,18/07/2023,42,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
53,SEA,08.07.2022,28/07/2023,17,Aliquam erat volutpat.
54,SEA,19.01.2023,31/05/2023,42,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
55,AIR,08.04.2023,31/07/2022,29,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
56,SEA,04.01.2023,30/06/2023,28,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
57,AIR,25.05.2023,16/07/2022,21,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue."
58,SEA,28.09.2022,15/09/2022,38,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
59,SEA,05.12.2022,01/05/2023,21,Nam nulla.
60,POSTAL,25.11.2022,06/02/2023,47,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
61,SEA,25.07.2022,29/01/2023,3,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
62,AIR,28.12.2022,25/05/2023,27,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
63,POSTAL,15.08.2022,31/12/2022,43,Vestibulum sed magna at nunc commodo placerat.
64,POSTAL,08.04.2023,25/09/2022,5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum."
65,AIR,16.02.2023,03/03/2023,35,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
66,AIR,06.11.2022,14/09/2022,6,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy."
67,SEA,07.05.2023,25/01/2023,8,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
68,POSTAL,17.11.2022,03/12/2022,19,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
69,POSTAL,28.06.2022,09/07/2022,18,In hac habitasse platea dictumst.
70,SEA,30.06.2022,23/10/2022,28,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.
71,SEA,05.10.2022,15/02/2023,42,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.
72,SEA,10.05.2023,23/10/2022,23,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
73,AIR,18.11.2022,02/11/2022,6,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
74,AIR,06.06.2022,16/10/2022,50,Etiam faucibus cursus urna.
75,SEA,19.08.2022,11/05/2023,35,Aliquam erat volutpat. In congue.
76,POSTAL,08.11.2022,03/01/2023,23,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
77,SEA,27.12.2022,31/08/2022,42,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero."
78,SEA,29.09.2022,13/08/2022,41,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
79,SEA,05.11.2022,29/06/2023,50,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
80,AIR,18.12.2022,06/06/2022,48,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
81,AIR,05.07.2022,10/08/2022,9,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
82,SEA,10.01.2023,29/10/2022,23,Integer ac leo.
83,SEA,22.04.2023,22/12/2022,8,In congue. Etiam justo.
84,AIR,23.08.2022,28/04/2023,7,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
85,AIR,20.03.2023,08/06/2023,16,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
86,AIR,28.05.2023,16/07/2022,40,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
87,POSTAL,30.01.2023,29/03/2023,35,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
88,POSTAL,12.05.2023,22/02/2023,50,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
89,POSTAL,26.10.2022,25/07/2022,15,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
90,POSTAL,20.08.2022,03/03/2023,36,Nulla tellus.
91,POSTAL,22.10.2022,26/07/2022,22,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
92,POSTAL,04.05.2023,28/08/2022,34,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.
93,AIR,30.11.2022,14/03/2023,23,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
94,AIR,05.08.2022,27/11/2022,3,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
95,POSTAL,15.07.2022,30/10/2022,4,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
96,POSTAL,03.01.2023,11/04/2023,49,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
97,POSTAL,15.09.2022,09/03/2023,17,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
98,AIR,29.04.2023,30/08/2022,10,In congue. Etiam justo. Etiam pretium iaculis justo.
99,SEA,31.12.2022,27/07/2022,10,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
100,SEA,01.10.2022,20/06/2022,14,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
101,POSTAL,03.10.2022,08/07/2022,44,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
102,AIR,15.06.2022,10/05/2023,37,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
103,POSTAL,04.01.2023,11/12/2022,42,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
104,POSTAL,21.05.2022,17/11/2022,28,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
105,AIR,05.11.2022,21/10/2022,9,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
106,AIR,16.09.2022,31/08/2022,12,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
107,AIR,18.10.2022,23/04/2023,9,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
108,AIR,24.10.2022,19/01/2023,30,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
109,POSTAL,30.05.2023,23/07/2023,16,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.
110,SEA,17.05.2023,20/10/2022,23,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
111,POSTAL,19.06.2022,20/10/2022,41,Praesent lectus.
112,POSTAL,05.06.2022,12/06/2023,46,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia."
113,POSTAL,14.08.2022,28/01/2023,29,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
114,POSTAL,13.10.2022,05/06/2022,3,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
115,AIR,11.08.2022,17/12/2022,36,Curabitur gravida nisi at nibh.
116,POSTAL,22.11.2022,21/02/2023,20,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
117,POSTAL,17.08.2022,23/06/2022,22,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
118,POSTAL,23.05.2023,11/06/2022,31,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.
119,AIR,01.06.2022,10/12/2022,42,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
120,POSTAL,09.09.2022,11/01/2023,10,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
121,SEA,28.03.2023,25/07/2023,16,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
122,SEA,19.07.2022,06/04/2023,9,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
123,SEA,11.07.2022,03/12/2022,3,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
124,AIR,02.10.2022,20/03/2023,42,Phasellus in felis. Donec semper sapien a libero. Nam dui.
125,SEA,05.09.2022,27/11/2022,2,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.
126,POSTAL,06.03.2023,02/10/2022,30,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
127,POSTAL,06.11.2022,06/08/2022,17,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
128,AIR,31.10.2022,27/10/2022,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
129,AIR,05.07.2022,29/05/2023,5,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla."
130,SEA,01.07.2022,24/03/2023,5,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
131,POSTAL,25.04.2023,17/06/2022,12,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
132,SEA,16.04.2023,27/12/2022,13,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
133,POSTAL,12.06.2022,29/01/2023,6,In congue. Etiam justo.
134,AIR,16.09.2022,23/12/2022,40,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero."
135,AIR,27.05.2022,22/12/2022,43,Morbi quis tortor id nulla ultrices aliquet.
136,POSTAL,10.11.2022,14/04/2023,42,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
137,POSTAL,18.03.2023,01/07/2022,15,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
138,POSTAL,13.03.2023,01/10/2022,33,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.
139,SEA,04.10.2022,28/11/2022,8,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
140,SEA,10.02.2023,02/07/2022,48,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
141,SEA,17.12.2022,31/08/2022,25,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
142,SEA,14.01.2023,26/10/2022,6,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
143,SEA,27.05.2023,15/04/2023,15,Etiam faucibus cursus urna. Ut tellus.
144,SEA,02.02.2023,20/11/2022,10,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
145,AIR,11.06.2022,20/09/2022,45,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
146,SEA,21.04.2023,24/06/2022,29,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.
147,SEA,06.04.2023,04/11/2022,37,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
148,POSTAL,15.06.2022,21/11/2022,14,Morbi vel lectus in quam fringilla rhoncus.
149,AIR,11.01.2023,11/06/2023,36,Nulla ut erat id mauris vulputate elementum. Nullam varius.
150,SEA,12.09.2022,12/09/2022,18,Ut tellus.
151,SEA,03.10.2022,01/04/2023,15,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti."
152,SEA,19.10.2022,08/02/2023,40,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
153,POSTAL,14.01.2023,05/07/2023,37,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
154,SEA,25.02.2023,22/04/2023,13,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
155,SEA,19.05.2022,07/06/2022,45,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
156,SEA,21.10.2022,09/07/2023,24,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
157,SEA,10.05.2023,26/07/2023,3,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
158,POSTAL,07.08.2022,28/07/2022,45,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
159,POSTAL,02.02.2023,24/05/2023,47,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
160,SEA,23.12.2022,29/07/2023,27,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
161,POSTAL,24.03.2023,01/12/2022,42,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.
162,AIR,23.08.2022,17/09/2022,7,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
163,POSTAL,01.12.2022,07/06/2023,45,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
164,POSTAL,22.04.2023,29/09/2022,10,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
165,SEA,21.01.2023,17/01/2023,47,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
166,SEA,18.03.2023,21/03/2023,19,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
167,AIR,14.01.2023,11/07/2023,7,Ut tellus.
