PRODUCT_ID,WEIGHT_UNIT,CURRENCY_code,PRICE,WIDTH,WEIGHT,SHORT_DESC,REMARKS
45,KG,LYD,461.02,185.29,4946.63,INFANTS MAPAP,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
46,POUNDS,MMK,123.21,312.49,2997.61,eszopiclone,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
47,ML,CLP,1427.9,304.08,1576.63,Germicida,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
48,GM,SEK,284.62,91.29,2471.74,Cepacol,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
49,GM,LBP,707.79,104.13,2385.14,"Bermuda Grass, Standardized",Etiam justo.
50,POUNDS,HUF,1455.01,339.24,5829.66,Hesol Rim,Nulla tellus. In sagittis dui vel nisl.
51,ML,EUR,1391.11,305.74,9127.66,Symmetry Foaming Hand Sanitizer-Unscented,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
52,GM,THB,1047.04,421.87,553.55,acarbose,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
53,KG,SEK,434.52,272.52,9270.46,LEVOXYL,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.
54,POUNDS,KRW,102.38,641.86,4683.93,Avant Original - Fragrance Free,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
55,POUNDS,CUP,1460.54,543.6,9524.01,Senna/Docusate Sodium,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
56,GM,CNY,186.73,309.9,6946.45,Head and Shoulders,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.
57,OUNCE,CNY,412.85,147.83,7375.61,Dicyclomine Hydrochloride,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
58,L,PLN,1176.84,154.29,5877.91,Lithium Carbonate,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam."
59,OUNCE,MYR,35.05,488.13,2392.69,Ivarest,Sed ante.
60,KG,MYR,189.8,380.43,2043.36,Eczema,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
61,GM,IDR,1154.34,279.38,7755.88,Select Brand Mucus Relief,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus."
62,OUNCE,PHP,1014.05,313.58,3264.21,Moexipril Hydrochloride,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui."
63,POUNDS,COP,1481.45,483.7,6417.12,Tretinoin,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
64,GM,KZT,73.96,70.79,2500.07,Coppertone Tanning Sunscreen,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
65,POUNDS,IDR,822.81,173.28,9149.49,Systemic Detox,Cras pellentesque volutpat dui.
66,L,CNY,1197.93,308.55,1037.3,Fluoxetine,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
67,L,IDR,326.12,232.6,8394.02,OXYGEN,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
68,L,CZK,310.59,327.43,664.97,Clonazepam,Nulla ut erat id mauris vulputate elementum.
69,L,CLP,1289.62,286.0,661.14,Pioglitazone,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
70,L,VND,564.83,124.81,4120.82,Benazepril Hydrochloride and Hydrochlorothiazide,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
71,ML,CDF,1336.19,548.62,2987.65,Pedi-Dri,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
72,GM,BRL,736.01,426.64,7785.96,Sprix,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
73,GM,IDR,1035.56,588.53,5357.88,METOPROLOL SUCCINATE,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
74,KG,EUR,397.98,239.4,5355.77,ASMANEX,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
75,GM,EUR,499.37,15.95,6115.07,Solu-Cortef,Nunc purus. Phasellus in felis.
76,ML,UAH,658.75,507.38,3654.79,ISOPTO CARPINE,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
77,OUNCE,MGA,1420.35,655.4,5940.78,Cardene I.V.,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
78,ML,IDR,942.5,258.75,4472.91,Lorazepam,Vivamus in felis eu sapien cursus vestibulum.
79,POUNDS,PLN,478.54,538.02,7130.23,OXYGEN,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.
80,GM,EUR,533.15,154.76,220.9,Exuviance CoverBlend Skin Caring Foundation,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
81,KG,CNY,649.49,21.43,6893.76,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
82,OUNCE,CNY,477.39,125.38,5949.9,Myochrysine,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
83,ML,RSD,306.98,279.42,2677.04,take cover anti-aging foundation,Phasellus sit amet erat.
84,L,RUB,21.31,462.38,629.73,Lysol,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
85,POUNDS,CNY,1494.89,512.81,7077.24,Shopko Original SPF 4 Lip Balm,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
86,ML,IDR,331.43,644.15,6444.29,TobraDex,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
87,GM,RUB,1034.97,167.71,6212.86,Metaxalone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
88,L,CAD,1206.99,342.2,855.85,Oxybutynin Chloride,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
89,POUNDS,IDR,436.45,424.54,4959.94,Nephroplex,Curabitur in libero ut massa volutpat convallis.
90,KG,IDR,708.27,499.41,9366.54,Pamidronate Disodium,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
91,L,COP,139.55,272.79,1522.46,Famotidine,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis."
92,ML,PLN,1159.23,458.8,6114.65,CHLORDIAZEPOXIDE HYDROCHLORIDE and CLIDINIUM BROMIDE,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.
93,OUNCE,MXN,976.48,562.35,3165.02,Ocean Mist Scented Hand Sanitizer Anti-Bacterial,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
94,L,RUB,88.48,293.07,8199.33,Nutricel Additive System - CP2D,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
95,POUNDS,CZK,297.16,63.94,8789.99,Levetiracetam,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
96,ML,VND,1211.54,291.08,645.66,SEROQUEL,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
97,L,BRL,784.94,195.55,9648.61,IBU,Nullam molestie nibh in lectus.
98,L,NGN,1087.64,372.31,1342.28,Hydrochlorothiazide,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus."
99,OUNCE,NOK,1009.66,131.65,6765.74,MEPIVACAINE HYDROCHLORIDE,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
100,POUNDS,RUB,1456.25,275.44,9269.15,Purinethol,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl."
101,L,NGN,1260.31,196.31,9000.65,nose,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
102,GM,USD,929.84,552.96,9994.56,DawnMist Alcohol Gel Hand Sanitizer,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio."
103,OUNCE,MXN,791.76,34.29,6787.63,Orajle Anti-Bacterial Rinse for Bleeding Gums,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
104,GM,CNY,1289.95,12.21,3096.55,AHC Hydration Special Gen Mask,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
105,KG,PHP,972.92,563.66,649.65,RENUTRIV,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
106,POUNDS,RUB,928.77,26.52,947.5,Oxistat,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
107,L,PLN,298.26,194.37,6140.12,Sotalol Hydrochloride,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
108,GM,EUR,1124.95,148.89,7003.89,Leader Fiber,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
109,GM,RUB,947.28,575.71,3546.63,equaline naproxen sodium,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
110,L,SYP,373.46,563.12,8781.22,Bodycology Peppermint Sugar anti-bacterial scrubbing hand soap,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
111,OUNCE,HTG,1444.58,642.36,3832.53,"Pollens - Trees, Elm, American Ulmus americana","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
112,POUNDS,RUB,425.11,182.47,9990.45,Amlodipine Besylate,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.
113,OUNCE,NGN,712.29,315.05,9203.59,ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
114,ML,UYU,1352.21,26.35,7313.05,ShopRite Ibuprofen IB,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
115,OUNCE,IDR,917.98,566.68,7076.26,HAMSOA ATOBY MEDI,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
116,ML,CNY,579.95,178.6,1332.44,Escitalopram Oxalate,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
117,L,IDR,777.06,40.84,204.51,Ibuprofen,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
118,ML,THB,651.9,85.15,1046.57,Gillette Clinical,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
119,ML,PHP,523.74,374.44,1952.92,Naproxen Sodium,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
120,POUNDS,CNY,1240.31,118.93,1091.48,No7 Lifting and Firming Foundation Sunscreen SPF 15 Porcelain,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
121,KG,CNY,1426.3,140.01,5618.07,Progena,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.
122,POUNDS,RUB,172.93,325.97,1510.04,Daytime Cold and Flu Relief,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
123,GM,CNY,1251.63,604.97,7337.2,Chlorothiazide,Quisque porta volutpat erat.
124,POUNDS,USD,484.15,290.48,3264.22,"mineral oil, petrolatum, phenylephrine hydrochloride, shark liver oil","Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
125,KG,IDR,530.13,263.11,8846.55,Childrens Non-Drowsy,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.
126,KG,JPY,1120.75,441.84,959.52,Filbert,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
127,KG,BRL,246.69,485.79,3695.17,nite time,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
128,KG,THB,131.65,54.41,1299.25,Type 7 Stress Anxiety Regular,Proin eu mi. Nulla ac enim.
129,GM,PLN,562.44,264.46,2102.5,Simvastatin,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
130,KG,IDR,970.87,375.38,9594.91,Flawless Finish Bare Perfection Makeup SPF 8 Cameo,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst."
131,OUNCE,RUB,962.61,275.1,7610.98,Sodium Bicarbonate Antacid,Etiam pretium iaculis justo.
132,ML,USD,1114.04,521.15,3523.76,Ranitidine,Mauris sit amet eros.
133,L,XAF,1095.78,473.16,9973.78,Lotrel,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
134,KG,MXN,724.72,401.58,1501.53,KOCHIA SCOPARIA POLLEN,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
135,OUNCE,XOF,510.62,587.07,8182.22,Dexamethasone,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
